Wireless Setup,Wireless Connectivity,Windows Compatibility,Selling Price,Paper Feed,Overall Print Quality,Non-specific/Unknown,iOS Compatibility,Ink Consumption,Competitor Product Comparison,Audible Noise,Sentence,Sentence#
0,1,0,0,0,0,0,0,0,0,0,"Not only did Google cloud print say the printer was offline, when I went to the control panel on the printer and selected the thing that is supposed to connect to Google cloud print and fetch print jobs, the printer said it couldn't connect to the internet - even though the printer was connected via Ethernet cable and I knew I had working internet.",140
0,1,0,0,0,0,0,0,0,0,0,"Since it was connected to the network via Ethernet cable I thought, well, maybe it will work better if I connect it wireless.",143
0,1,0,0,0,0,0,0,0,0,0,"So I unplugged the Ethernet cable and set the printer to connect to the wireless network.",144
0,0,1,0,0,0,0,0,0,0,0,"But Canon's network tool on my laptop could not find the printer and it could not print at all.",146
0,1,0,0,0,0,0,0,0,0,0,"But my printer is still offline to Google cloud print and still says it can't connect to the internet.",149
0,1,0,0,0,0,0,0,0,0,0,"Both samples have failed to reliably connect to wi-fi.",156
0,1,0,0,0,0,0,0,0,0,0,"I have two access points available in my home, and wi-fi printing is completely useless with either.",157
0,1,0,0,0,0,0,0,0,0,0,"The printer's on screen diagnostics randomly report connected or disconnected status.",161
0,0,0,0,0,0,0,0,0,0,1,"When it finally does print, it is extremely slow and spends on absurd amount of time making noise, before and after printing pages.",162
0,0,0,1,0,0,0,0,0,0,0,"Canon PIXMA does not receive faxes well - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I bought this all in one Canon Pixma based on the excellent reviews and great price.",168
0,0,0,0,0,0,0,0,0,1,0,"I returned the machine and bought an HP instead.",174
0,0,0,0,1,0,0,0,0,0,0,"I believe the feed mechanism inside the machine is damaging the paper on the way through.",179
0,0,0,0,1,0,0,0,0,0,0,"We particularly like the autofeeder for the scanner/copier, and it has a large capacity paper tray.",186
1,1,0,0,0,0,0,0,0,0,0,"The printer installed very easily on our wireless network, and was similarly easy to install via USB.",189
0,0,0,0,0,1,0,0,0,0,0,"I usually use it in draft mode, which saves ink, but the output is still pretty good.",201
0,0,0,0,0,1,0,0,0,0,0,"2) Color printing is very good.",202
0,0,0,0,0,1,0,0,0,0,0,"I am also a photographer, and the prints you get are acceptable.",203
0,0,0,0,0,0,0,0,0,1,0,"Of course if you want the best, you have to go with one of the high end Epson's.",204
0,0,0,0,0,1,0,0,0,0,0,"Printing in full up mode produces excellent quality printing.",205
1,0,0,0,0,0,0,0,0,0,0,"3) Set up was a breeze.",206
0,0,0,0,0,0,0,0,0,0,1,"7) It is pretty quiet.",211
0,0,0,0,0,0,0,0,0,0,1,"Certainly quieter than the laser printer I have at home.",212
0,0,0,0,1,0,0,0,0,0,0,"2) The paper tray is very small.",216
0,0,0,0,0,0,0,0,1,0,0,"3) It uses ink pretty fast.",218
0,0,0,0,0,0,0,0,1,0,0,"Aside: Canon's ink cartridges are very expensive.",222
0,0,0,1,0,0,0,0,0,0,0,"I opted to by this third party set: The ink quality appears to be the same as Canon's, and and a considerably reduced price.",224
0,1,0,0,0,0,0,0,0,0,0,"The wireless hook-up didn't work for me, and I don't have time to play around with it.",228
0,0,0,0,0,0,0,0,0,0,1,"The printer is pretty noisy.",229
0,0,0,0,0,1,0,0,1,1,0,"Print quality is ok, but I don't think the color quality is exceptional (I will rely on my Epson for that, but I pay a small fortune for the Epson replacement cartridges).",230
0,0,0,0,0,0,0,0,1,0,0,"I was looking for a printer which had reasonably-priced replacement cartridges, didn't take up a lot of room, and was reliable.",233
0,0,0,0,0,0,0,0,0,1,0,"HP, I have to say, is great quality when it works.",234
0,1,0,0,0,0,0,1,0,0,0,"Pros: No problems hooking up with Mac OSX 10.7.5 No problems with wireless No problems printing from external computer or ipad Cons: -Would spool and not print intermittently.",239
0,1,0,0,0,0,0,0,0,0,0,"This would not happen all the time- just intermittently, Wifi: same problem- Ethernet hook up same problem; direct USB printer cable- same problem--so it was not the connection.",241
0,0,0,0,0,0,0,0,0,0,1,"The actual printing was relatively quick - it was the waiting of the processing of the printer (the processing your page with bonus noise included for 5 minutes to print one black and white document page. -Paper jam central. 1 jam to every 10 pages without fail. -1/2 the ink left and streaking on margins -print would come out off set on occasions. (like one spot higher than the other) -Alignment- cleaning etc--PLEASE.",244
0,1,0,0,0,0,0,1,0,0,0,"Doesn't wake up well - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I did a lot of investigating into which printer to buy that would work with my IMac and iPad.",247
0,1,0,0,0,0,0,1,0,0,0,"It worked well wirelessly with my iPad but would not work wirelessly with my iMac that was 12 inches away.",250
0,1,0,0,0,0,0,1,0,0,0,"Once I hard wired it to the iMac it stopped working wirelessly with my iPad.",251
1,0,0,0,0,0,0,0,0,0,0,"Easy set up, great performance great quality of images - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Customer review from the Amazon Vine™ Program (What's this?)",254
0,1,1,0,0,0,0,0,0,0,0,"In any event, it was super easy to connect to my PC and start printing.",260
0,0,0,0,0,1,0,0,0,0,0,"We used the scanner, found that to be very intuitive and the quality of image was good if not great.",262
0,0,0,0,0,1,0,0,0,0,0,"If you are looking for a good all in one, that is outstanding with photos, this is a perfect choice.",269
1,0,0,0,0,0,0,0,0,0,0,"Very easy setup for wifi and fax operation.",271
0,1,0,0,0,0,0,0,0,0,0,"No problems at all with using any features via wifi.",272
0,0,0,0,0,0,0,0,0,0,1,"The only issues I have with the printer is during an idle period it makes a lot of clicking/clattering sounds - perhaps going through a self-check or maintenance cycle.",273
0,0,0,0,0,1,0,0,0,0,0,"Print and scan quality very good.",275
0,0,0,0,0,0,0,0,0,1,0,"Had much better experiences with HP and Epson in the past.",285
1,0,0,0,0,0,0,0,0,0,0,"Easy setup, fast scanning, nice color printing. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This all-in-one was bought to replace a Canon Pixma MP530.",286
1,0,1,0,0,0,0,0,0,0,0,"The printer wireless setup went flawlessly on all of my PC's.",288
1,0,0,0,0,0,0,0,0,0,0,"My old MP530's MP Navigator software, which was very functional and easy to configure, has been replaced with IJ Scan Utility which is difficult to setup and has some features which they user cannot change (e.g. it automatically puts a time stamp on all scans regardless of what I name the file - which according to tech support cannot be disabled).",290
0,0,0,1,0,0,0,0,0,0,0,"Overall this unit does all I want, fast scanning, stunning color graphics - at a reasonable price.",293
0,0,0,1,0,0,0,0,0,0,0,"Canon CANNOT repair it, they tell you that out of the kindness of their heart, they will SELL YOU a REPLACEMENT -- at a price higher than you find on Amazon (which price includes free shipping).",300
0,0,0,0,0,0,0,0,1,0,1,"However, it is fast, quiet and doesn't seem to use that much ink.",307
1,0,0,0,0,0,0,0,0,0,0,"I have had no issues setting it up on my home network.",310
1,1,0,0,0,1,0,0,0,0,0,"The CD printing is a bit complicated - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This is a great printer, very nice color and image quality, the set up and wi fi capabilities are up there, I got it because is able to print CDs, it does, however, is a bit tricky to learn to do this, once you get it is not a big deal, but is slow while printing CDS.",314
1,0,0,0,0,0,0,0,0,0,0,"great printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I was overwhelmed with trying to set it up, but it turned out to be much easier than I thought!",316
0,0,0,0,0,0,0,0,0,1,0,"Replaces my old HP which I will never use THAT brand again.",318
0,0,0,1,0,0,0,0,0,0,0,"Great price, and you can get an extended warranty with it.",320
0,0,0,0,0,0,0,0,0,1,0,"Tested against the Canon MG5420 and against the Epson 810 and HP 8600 using plain inkjet paper (not multipurpose copy paper).",322
0,0,0,0,0,0,0,0,0,1,0,"All were pretty good, but weren't as good as my old HP Photosmart had been when it was brand new.",326
0,0,0,1,0,0,0,0,0,0,0,"Printers, like everything else, are being engineered junkier and junkier as they drive down price and add gee-whiz features.",327
0,0,0,0,0,1,0,0,0,0,0,"Print quality is nearly flawless.",331
0,0,0,0,0,0,0,0,1,0,0,"Is it using much more ink, or just moving the print head and carriage more slowly?",332
0,0,0,0,0,0,0,0,0,1,0,"The HP 8600 had minor, less noticeable banding, but also had some weird squiggly thing going on so that the images had faint jagged lines through them that reminded me of a TV picture scrambled by a ham or CB radio.",334
0,0,0,0,0,0,0,0,0,1,0,"The Epson has the smoothest and most uniform print.",335
0,0,0,0,0,0,0,0,0,1,0,"The Epson had the best picture for uniformity by far.",337
0,0,0,1,0,0,0,0,0,1,0,"The Epson also has cheap price per page.",339
0,0,0,0,0,0,0,0,1,0,1,"You would hear it make some noise, thinking maybe it was about to start, but it would grind on and on and on, and I was convinced it was pumping massive quantities of ink into the waste ink reservoir.",342
0,0,0,0,0,0,0,0,1,0,0,"The 922 uses the same ink cartridges so must share some parts in common, yet it started printing right away.",344
0,0,0,0,0,0,0,0,1,0,0,"But after printing, it's grinding away too, probably wasting ink.",346
0,0,0,0,0,0,0,0,0,1,0,"Overall, I wanted to get the Epson and tolerate the dull colors because of the amazing uniformity in standard mode, and the cheap prints.",348
0,0,0,0,0,0,0,0,0,1,0,"And I liked the HP for the sturdiness and excellent control panel.",349
0,0,0,0,0,1,0,0,0,0,0,"She liked the Canon prints the best because of the color, contrast and sharpness, and preferred the 922 because the 5420 was so slow.",351
0,0,0,0,0,1,0,0,0,0,0,"In high quality mode, its plain paper prints are the best.",352
0,0,0,0,0,0,0,0,0,1,0,"Both the 5420 and 922 are subjectively rattlely and not rugged compared to the Epson and HP, plus they both have flimsy and awkward control buttons compared to the Epson and HP controls, which are touch screen units.",354
1,0,0,0,0,0,0,0,0,0,0,"Wifi setup was really easy, it gave me a list of access points, I picked my router and entered in the WPA2 key using the buttons.",357
0,0,0,1,0,0,0,0,0,0,0,"The MX922 belongs at a sub-$120 price point in my book.",360
0,0,0,1,0,0,0,0,0,0,0,"But we'd have grudgingly paid $150 for it over the other two brands which were in the $130 range, and the super-cheap but excruciatingly slow $50 MG5420.",362
1,0,0,0,0,1,0,0,0,0,0,"Canon printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Like the printer, prints great 4x6 photos and like the easy wireless setup.",363
0,0,0,0,0,0,0,0,1,0,0,"Uses a lot of ink but I try to keep spare ink around.",364
0,1,0,0,0,0,1,0,0,0,0,"And now the wireless function gives an error 6901.",369
0,1,0,0,0,0,0,1,0,0,0,"I must say I LOVE the fact that I can print from my phone, ipad, flash drive, you name it!",381
0,0,0,0,0,1,0,0,0,0,0,"Good printer, software issues - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) As is typical with Canon, print quality is good, but software support is lacking.",384
1,0,0,0,0,0,0,0,0,0,0,"Installing all OC the canon utilities is kind of annoying, as it comes with way too many software features.",386
0,0,1,0,0,0,0,0,0,0,0,"Alas, there is no scan software for Win 7 document scanning.",387
1,1,1,0,1,0,0,1,0,0,0,"Pros No setup for iPad & iPhone AirPrint compatible Windows XP support for quick scan utility Scan to USB, fast & high quality Duplex printing Wifi (WPS one touch setup works great) Great packaging, easy lift handles to remove from box Large paper tray Cons 1-2 minutes to start printing first page after coming out of standby No scan utility for Win 7 PCs, need to download your own scanning software!!!",388
0,1,0,0,0,0,0,1,1,0,0,"iPad/iPhone printing often selects manual feed tray, requires reset to fix Ink is used VERY quickly Wifi printing large files up to 5min /page No wifi status, always shows blue even if its not working Scanner jams easily Overall, a good printer.",389
0,0,0,0,0,0,0,0,0,1,0,"I decided against another HP printer and bought this printer.",392
1,0,1,0,0,0,0,0,0,0,0,"Installation was flawless on my desktop (XP) and my (win 7) laptop.",394
1,0,0,0,0,0,0,0,0,0,0,"Wireless and Fax installed easily.",395
0,0,0,0,0,0,0,0,0,0,1,"It is pretty loud but has a sound adjustment.",404
0,0,0,0,0,0,0,0,0,0,1,"I wonder why they didn't just make it sound lower in the first place.",406
0,0,1,0,0,0,0,0,0,0,0,"I was impressed that the software installed on both XP and Win 7.",407
0,0,0,0,0,1,0,0,0,0,0,"I printed out a few photos and they were nice.",408
0,0,0,0,1,0,0,0,0,0,0,"Once the software is installed there is a basic menu and I printed a couple of pages, like how the fax paper goes in and the regular paper and photo loads.",411
1,0,0,0,0,0,0,0,0,0,0,"Easy setup, very good scanning and excellent pictures - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The title says it all.",416
0,0,0,0,0,1,0,0,0,0,0,"Printing okay.",420
0,0,0,0,0,0,0,0,0,0,1,"Slow to Start up and Noisy - Canon Office Products MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I haven't had this very long.",421
1,0,0,0,0,0,0,0,0,0,0,"It was a little tricky to set up because the directions weren't very clear in setting up the wireless mode.",423
0,0,0,0,0,0,0,0,0,0,1,"When turning it on it makes all sorts of clicks, turning sounds, unlike my previous Canon Pixma.",424
0,0,0,0,0,0,0,0,0,0,1,"I don't know if it's supposed to do that but it's pretty noisy and takes about 10 minutes to be ready to print.",425
0,1,0,0,0,0,0,0,0,0,0,"When sending to print it seems slow to spool in wifi mode, but printing is pretty fast.",426
0,0,0,0,0,1,0,0,0,0,0,"In standard mode print quality seems pretty clean so far.",428
0,0,0,0,0,0,0,0,0,0,1,"My main concern is all the noise in the beginning.",430
1,0,0,0,0,0,0,0,0,0,0,"Set up is very easy.",434
0,1,0,0,0,0,0,0,0,0,0,"Love the fact that it's wireless.",436
0,0,0,1,0,0,0,0,0,0,0,"Good for the price, it's big though - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Fast scanning.",437
0,0,0,0,0,0,0,0,0,1,1,"Loud and big, but I don't care, it's faster than what I had before (hp deskjet 5100)",439
0,0,0,0,0,0,0,0,0,0,1,"Many functions, a bit noisy - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This sits next to my computer.",440
0,0,0,0,0,0,0,0,1,0,0,"Uses lots of ink - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This highly rated as ink efficient but it used the original inks in about a month and I don't think we have printed more than 150 pages so I will contact canon what is wrong?",444
0,0,0,0,0,0,0,0,0,1,0,"If I knew the Epson would have been a better buy !!",445
0,0,0,0,0,0,0,0,0,1,1,"But I does perform well but a little more complicated than Epson but quiet mode and double sided printing is nice",446
1,1,0,0,0,0,0,1,0,0,0,"Doesn't work With Mac - Canon Office Products MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) My mac rejected the ""Set Up CD-rom"".",447
1,0,0,1,0,0,0,0,0,0,0,"For $99.99 they could install one for me.",450
0,0,0,0,0,0,0,1,0,0,0,"DON'T BUY IF YOU HAVE A MAC.",452
0,1,0,0,0,0,0,0,0,0,0,"Wireless won't work - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I'm sure this is a good printer, it works fine with USB, however I bought it based on wireless capability and I have now spent a total of 32 hours trying to get it to work and it still cannot be found by any of my devices.",453
0,0,0,0,0,0,0,0,1,1,0,"Good Printer But Ripped Off on Ink Cartridges - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Much better than Epson printers.",456
0,0,0,0,0,0,0,0,1,0,0,"But I was ripped off on my purchase of cartridges for it.",457
1,0,0,0,0,0,0,0,0,0,0,"Nothing but problems. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Could not get this setup correctly.",459
0,0,0,0,0,0,0,0,1,0,0,"It runs out of ink in no time at all.",464
0,0,0,0,0,0,0,0,1,0,0,"The ink replacements are too expensive.",465
0,0,0,0,0,0,0,0,1,0,0,"What I do not like is the cost of the canon ink.",469
0,0,0,0,0,1,0,0,0,0,0,"Second Canon worked great, nice quality pictures, good software, copier works great, and scanner.",472
0,1,0,0,0,0,0,0,0,0,0,"Disappointing for wireless networked printing - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Well, so far this printer has been very disappointing.",476
1,1,0,0,0,0,1,0,0,0,0,"Although set up was fairly easy on my wireless network and it worked well the first time, the next time I went to use it, I got a Printer Not Connected to Network message.",479
0,1,0,0,0,0,0,0,0,0,0,"After reading some other 2 star reviews, I found some info on the problem - seems the printer disconnects from the network when it goes into sleep mode.",484
0,0,0,0,0,1,0,0,0,0,0,"Another drawback to this printer is that the print quality of text is not impressive.",488
0,0,0,0,0,1,0,0,0,1,0,"My ancient HP 1610 had better quality print.",489
0,1,0,0,0,0,0,0,0,0,0,"If you plan to do wireless printing, chose another printer.",491
1,0,0,0,0,0,0,0,0,0,0,"Unfortunately, the replacement printer is also defective and can not be set up.",497
1,1,0,0,0,0,0,0,0,0,0,"Nice Printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) It was fairly easy to set up, I had a bit of a problem getting it to recognize my network, but once I figured that out, it works great.",499
0,1,0,0,0,0,0,0,0,0,0,"But I love the wireless.",502
0,0,0,0,0,0,0,0,0,0,1,"- Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) It is noisy and takes alot of time to warm up, but I love it!",504
0,0,0,0,0,0,0,0,0,1,0,"It is so much better than my old Epson in every way.",505
0,0,0,0,1,0,0,0,0,0,0,"ADF does not work - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The automatic document feeder (ADF) does not work, and I am not crazy about the menu, and not the easiest to operate.",507
1,0,0,0,0,0,0,0,0,0,0,"Spent the last 1.5hrs trying to set it up and it will not print.",509
0,0,0,0,0,1,0,0,0,0,0,"Sounds like it's printing but paper is blank.",512
0,1,0,0,0,0,0,1,0,0,0,"So convenient being able to print from my iPad Mini or iPhone!",519
0,0,0,0,0,1,0,0,0,0,0,"Resolution is beautiful as well.",520
0,0,0,0,0,0,0,0,0,0,1,"Great usage , Loud and slow startup. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I was looking for alternative printer to give me room for paper storage and so far I am loving this printer but only drawback is its very loud and it takes time to load up.",521
0,0,0,1,0,0,0,0,0,0,0,"Nice printer for the price. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) So far this has been an excellent printer for the money.",522
0,0,0,1,0,0,0,0,0,0,0,"It has so many features not found on other printers in this price range.",523
0,0,0,0,0,1,0,0,0,0,1,"It is much quieter than my previous printer with better print quality and speed.",524
1,0,0,0,0,0,0,0,0,0,0,"I set it all up according to the instructions that arrived with it.",537
0,1,0,0,0,0,0,0,0,0,0,"I memorized my home network's passcode and eventually got it to connect with the router.",538
0,1,0,0,0,0,0,0,0,0,0,"""The printer is offline.""",540
1,1,0,0,0,0,0,0,0,0,0,"My husband & I were looking forward to the wireless printing, which I had never set up on our MX700.",559
1,0,0,0,0,0,0,0,0,0,0,"A little trying to setup wireless.",560
0,1,0,0,0,0,0,0,0,0,0,"Initially it would not recognize the wireless device and no WPS button to push, what????",561
1,0,0,0,0,0,0,0,0,0,0,"Turned it off, unplugged it, disabled the Wi-Fi, restored my computer to earlier date and then set it up using the cable and it printed the test page and picture with no problem.",568
0,0,0,0,0,0,0,0,0,0,1,"It is noisy (even on the quiet mode) and takes forever to do anything, so I am leaving it on all the time.",569
1,0,0,0,0,0,0,0,0,0,0,"Setup took FOREVER.",572
0,0,0,0,1,0,0,0,0,0,0,"The paper trays are difficult to access.",576
0,0,0,0,1,0,0,0,0,0,0,"But the kicker for me - the piece that keeps the papers on the output tray and keeps them from falling on the floor broke.",580
0,0,0,0,0,0,0,0,0,1,0,"needed a new printer to replace my HP g85 - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) It is ok...the scanner is great, but it constantly requires restarting and configuration of the wireless.",586
0,1,0,0,0,0,0,1,0,0,0,"It does well when it is attached, I can print from nay of my computers, ipad, etc.",587
0,1,0,0,0,0,0,0,0,0,0,"Don't buy any Canon PIXMA if you expect to use wireless - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I bought a MX922 about 6 weeks ago.",588
0,1,1,0,0,0,0,1,0,0,0,"I have tried everything to get the printer to respond to wi-fi and print from my Apple iPhones and iPad and my 2 Windows 7 PCs.",589
0,1,0,0,0,0,0,0,0,0,0,"The printer drops the connection to wi-fi or won't wake up after a period of time.",590
0,1,1,0,0,0,0,1,0,0,0,"If I get it to work with Apple it won't work with PC or vice versa.",591
0,1,0,0,0,0,0,0,0,0,0,"Canon has user forums for its products and if you go to the Wireless/Networking forum for their printers there are pages of complaints and questions from users of about every model.",593
0,0,0,0,0,0,0,0,0,0,1,"Terrible Printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This is by far the noisiest and slowest printer I've ever used.",606
0,0,0,0,0,0,0,0,1,0,0,"It went through ink like crazy and of course the OEM cartridges are expensive as with most printers.",608
0,0,0,1,0,0,0,0,0,0,0,"Do yourself a favor and avoid this printer, don't let the lower price sway your decision.",611
0,1,0,0,0,1,0,0,0,0,0,"Good quality output but drops wireless a LOT. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I got this as a replacement for an 880 which was taking longer and longer to prepare itself for each print job (minutes, sometimes).",613
0,1,0,0,0,0,0,1,0,0,0,"It also did not have the ability to print from an iphone or ipad without a $50 add-on.",614
