Sentence,Sentence#
"I have bought nothing but Canon cameras and printers for years but I am going to have to seriously rethink that in the future.",150
"This was a complete waste of money and the only reason I may not return it is that I'm just plain exhausted with all the other stuff I need to do for my mom and in life in general.",151
"Complete disaster.",152
"Destroys marital harmony. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This printer has been a complete disaster.",153
"The first sample printed with mis-aligned output and had to be replaced.",154
"Out of the box, it could not even print the built-in test page correctly.",155
"Both samples have failed to reliably connect to wi-fi.",156
"I have two access points available in my home, and wi-fi printing is completely useless with either.",157
"The printer is randomly available and then unavailable.",158
"After much trial and error we can get a document to print.",159
"Another document sent 2 minutes later from the same computer fails.",160
"The printer's on screen diagnostics randomly report connected or disconnected status.",161
"When it finally does print, it is extremely slow and spends on absurd amount of time making noise, before and after printing pages.",162
"It should not require two people and 20 minutes to print one document, but the MX922 it does.",163
"Before ordering, ask yourself if you want a frustrated spouse or other members of your household demanding help each and every time they send a page to the printer.",164
"It's not worth it.",165
"Try anything else.",166
"I will likely be ordering another printer soon and re-enacting the Office Space scene on this one.",167
"Canon PIXMA does not receive faxes well - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I bought this all in one Canon Pixma based on the excellent reviews and great price.",168
"I needed it for limited faxing for business and printing.",169
"I was on the phone three times with the customer service trying to pinpoint why the machine would not answer faxes.",170
"It would simply not pick up the line for them on a regular basis.",171
"That is right.",172
"Sometimes, a fax would come through, however, then I would have clients call me to tell me my fax was not working and they were trying to send me orders.",173
"I returned the machine and bought an HP instead.",174
"Received a Bad One - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Photos print with little dots across the images.",175
"They appear in the direction of movement of paper through the machine and there are about 20 columns of these dots.",176
"They appear across non printed areas.",177
"This rules out an issue with the print cartridges.",178
"I believe the feed mechanism inside the machine is damaging the paper on the way through.",179
"I went through all the troubleshooting tips including one for prevention of paper abrasion, which increases the clearance of the print heads.",180
"As I said, the dots cross non printed areas, so I don't believe the issue has anything to do with the print heads, but I tried it anyway.",181
"I filed for a replacement unit, and I will post my results with the second one when I receive it.",182
"Solid printer, but with one big annoyance - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This makes our second Canon printer.",183
"We love the print quality of Canon printers, particularly on photos.",184
"This printer does everything it says it will.",185
"We particularly like the autofeeder for the scanner/copier, and it has a large capacity paper tray.",186
"These were very important to us.",187
"The on-screen menus and display are intuitive and easy to use.",188
"The printer installed very easily on our wireless network, and was similarly easy to install via USB.",189
"I'm not crazy about the printer/scanner software that Canon packages with this printer.",190
"The program that runs in the background leaves a large toolbar on the lower right portion of my desktop.",191
"I tend to kill that program and only open it when I actually need it.",192
"The biggest issue I find with this printer is that the connection will stall out--even on USB.",193
"I will send a print job over and the printer will not respond.",194
"I will have to turn the printer off and on again to complete the print job.",195
"I have the latest drivers and software, so I'm not quite sure what the problem is.",196
"All and all, it is a nice printer, but that one problem can be a big issue for some.",197
"I'm keeping an eye on it and will post an update later.",198
"Outstanding Printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I bought this for my office because I had so much trouble with the department printer.",199
"I have had the printer for a couple of months; so, here is my take: Pros: 1) excellent duplex printing.",200
"I usually use it in draft mode, which saves ink, but the output is still pretty good.",201
"2) Color printing is very good.",202
"I am also a photographer, and the prints you get are acceptable.",203
"Of course if you want the best, you have to go with one of the high end Epson's.",204
"Printing in full up mode produces excellent quality printing.",205
"3) Set up was a breeze.",206
"4) The design of this thing is awesome, it looks like an alien artifact.",207
"Very cool.",208
"5) The LCD readout is well-placed and informative.",209
"6) I mainly use this as a printer, but the copier is excellent, and the software is pretty good at handling documents.",210
"7) It is pretty quiet.",211
"Certainly quieter than the laser printer I have at home.",212
"Cons: 1) It is not the fastest.",213
"I usually print duplex, and the printer waits between pages for the ink to dry.",214
"This is a good idea, but it makes it a bit on the slow side.",215
"2) The paper tray is very small.",216
"I am not sure exactly how many pages it holds, but I seem to refill it often.",217
"3) It uses ink pretty fast.",218
"There is a separate black cartridge for text printing.",219
"It is larger than the others.",220
"Still I have already burned through one.",221
"Aside: Canon's ink cartridges are very expensive.",222
"Also, the set that you probably see at bottom of the product page does not have the large black cartridge in it.",223
"I opted to by this third party set: The ink quality appears to be the same as Canon's, and and a considerably reduced price.",224
"Check it out.",225
"Comments from a picky printer person... - Canon Office Products MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Just got this printer from Costco, and it was about the same price.",226
"Was in the store and it was a spur-moment purchase to try it out.",227
"The wireless hook-up didn't work for me, and I don't have time to play around with it.",228
"The printer is pretty noisy.",229
"Print quality is ok, but I don't think the color quality is exceptional (I will rely on my Epson for that, but I pay a small fortune for the Epson replacement cartridges).",230
"All in all, if you're picky with what the printout quality is like, I would say it's about a 3.5, or average.",231
"I just bought it for quickie printing in black+white, quickie faxing, and quickie scanning, so it will suffice.",232
"I was looking for a printer which had reasonably-priced replacement cartridges, didn't take up a lot of room, and was reliable.",233
"HP, I have to say, is great quality when it works.",234
"But that's WHEN it works!",235
"Horror show!",236
"- Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This printer is BAD!",237
"Bought it 5 months ago.",238
"Pros: No problems hooking up with Mac OSX 10.7.5 No problems with wireless No problems printing from external computer or ipad Cons: -Would spool and not print intermittently.",239
"The device would be ready to print- and would read that it was- but it would just spool until you manually paused the printer in your computer settings and then unpaused again.",240
"This would not happen all the time- just intermittently, Wifi: same problem- Ethernet hook up same problem; direct USB printer cable- same problem--so it was not the connection.",241
"Firmware upgrade helped- but problems still persisted. -No response back from my email to tech support with Canon. -Printer was Slow to print.",242
"When you needed to print something it literally would take 3-5 minutes to print.",243
"The actual printing was relatively quick - it was the waiting of the processing of the printer (the processing your page with bonus noise included for 5 minutes to print one black and white document page. -Paper jam central. 1 jam to every 10 pages without fail. -1/2 the ink left and streaking on margins -print would come out off set on occasions. (like one spot higher than the other) -Alignment- cleaning etc--PLEASE.",244
"This did not help.",245
"No support from manufacture - terrible printer!",246
"Doesn't wake up well - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I did a lot of investigating into which printer to buy that would work with my IMac and iPad.",247
"This was the #1 recommended printer.",248
"Oh what a lie!",249
"It worked well wirelessly with my iPad but would not work wirelessly with my iMac that was 12 inches away.",250
"Once I hard wired it to the iMac it stopped working wirelessly with my iPad.",251
"When I wake my iMac up from sleep status I have to turn the printer off and on again in order for it to work.",252
"The older version of this printer worked much better.",253
"Easy set up, great performance great quality of images - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Customer review from the Amazon Vine™ Program (What's this?)",254
"Canon is known for creating great quality images, they have developed this reputation over many years of high performance.",255
"This little machine does not let you down.",256
"We opened up the box and were impressed by the quality of construction, It seems sturdy and well put together.",257
"It was heavier than I expected, not overwhelmingly so, just heavier.",258
"I like to think it's due to quality components, but perhaps I am kidding myself.",259
"In any event, it was super easy to connect to my PC and start printing.",260
"Literally using the quick start guide, we were printing 10 minutes after opening the box.",261
"We used the scanner, found that to be very intuitive and the quality of image was good if not great.",262
"If you want great and high speed, but a high speed scanner.",263
"I second the opinions of others, no envelope tray is a bit frustrating, depending on how you plan to use the printer.",264
"However, for us, it is hardly a deal killer.",265
"What matters is the quality of black and white and photo printing.",266
"I find both to be excellent.",267
"We have printed several images and they are all bright, vibrant and accurate.",268
"If you are looking for a good all in one, that is outstanding with photos, this is a perfect choice.",269
"An improvement over the MP830 - Canon Office Products MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Overall, I do like the printer.",270
"Very easy setup for wifi and fax operation.",271
"No problems at all with using any features via wifi.",272
"The only issues I have with the printer is during an idle period it makes a lot of clicking/clattering sounds - perhaps going through a self-check or maintenance cycle.",273
"I have also had a few paper jams, not sure why.",274
"Print and scan quality very good.",275
"So, I'm happy with my purchase and it is a step up from the MP830 it replaced.",276
"Find a Better Printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I got what I now understand to be the horrible C000 error message which tells you to check the manual or connect with their support team.",277
"Of course, they do not give you a manual.",278
"You are to find one on the web.",279
"I found the site but cannot get anything but a customer service page.",280
"I am trying some helpful tips I found on the web from folks not with Canon.",281
"Then I guess I'll try to connect with their team but I am not looking forward to it.",282
"I just do not get the feeling that this company is reaching out to be helpful.",283
"I have had the unit about a year.",284
"Had much better experiences with HP and Epson in the past.",285
"Easy setup, fast scanning, nice color printing. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This all-in-one was bought to replace a Canon Pixma MP530.",286
"It is a secondary printer for me (my primary is a B&W laser) so the printing speeds were not much of an issue as I mainly purchased it for the auto duplex scanning and printing - which work great!",287
"The printer wireless setup went flawlessly on all of my PC's.",288
"I do not care for the scanning software however.",289
"My old MP530's MP Navigator software, which was very functional and easy to configure, has been replaced with IJ Scan Utility which is difficult to setup and has some features which they user cannot change (e.g. it automatically puts a time stamp on all scans regardless of what I name the file - which according to tech support cannot be disabled).",290
"Additionally, the printer documentation software is inadequate (IMHO).",291
"If Canon updated the Navigator software for this model it would be a huge improvement.",292
"Overall this unit does all I want, fast scanning, stunning color graphics - at a reasonable price.",293
"Save yourself - DO NOT BUY THIS PRINTER - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Do NOT - repeat -- DO NOT -- buy this printer, no matter how little you can purchase it for!!",294
"Here's why.",295
"This series of PIXMA printers uses a ""print head assembly"" -- its the little basket that your inkjets go into.",296
"Supposedly its REPLACEABLE but in fact, if it EVER develops an error code, Canon CANNOT GUARANTEE THAT REPLACING THE PRINT HEAD WILL MAKE THE MACHINE WORK AGAIN -- EVER AGAIN!",297
"I bought 2 of these and loved them when they got here and worked - one in Midwest home, other in Florida.",298
"The Florida machine broke down in 13 months, in the middle of a print job, and NOTHING on it would work anymore - the scanner, the fax, NOTHING works when the ""Print Head Error"" appears.",299
"Canon CANNOT repair it, they tell you that out of the kindness of their heart, they will SELL YOU a REPLACEMENT -- at a price higher than you find on Amazon (which price includes free shipping).",300
"You will be happy when your machine gets there and then REALLY MAD when it inevitably fails and you find yourself with a 35 pound doorstop.",301
"There are a lot of machines out there better than this for the same or less money- do yourself an act of kindness and purchase one of those OTHER MACHINES and leave these dogs lying in Canon's warehouse somewhere.",302
"You will be a much happier person about a year from now, guaranteed!!",303
"Great printer, works very well. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Seriously...it's a printer.",304
"It scans very nice, although the additional software is a bit much.",305
"I don't really need it to open every time I turn on my computer.",306
"However, it is fast, quiet and doesn't seem to use that much ink.",307
"To be fair, I use my Canon photo printer if I'm doing prints.",308
"This is more for contract and scanning documents for work.",309
"I have had no issues setting it up on my home network.",310
"It's not very hard, although the instructions in the 'online' manual are a bit lean.",311
"It is very good quality and works well.",312
"I am sold on canon.",313
"The CD printing is a bit complicated - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This is a great printer, very nice color and image quality, the set up and wi fi capabilities are up there, I got it because is able to print CDs, it does, however, is a bit tricky to learn to do this, once you get it is not a big deal, but is slow while printing CDS.",314
"also, the software to design the Cd cover is very limited and not friendly, dont get me wrong, is a high quality unit and works pretty much as advertised, the scanner works also very nicely",315
"great printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I was overwhelmed with trying to set it up, but it turned out to be much easier than I thought!",316
"It is very easy to use.",317
"Replaces my old HP which I will never use THAT brand again.",318
"Have an old Pixma which still works well, but this one does more.",319
"Great price, and you can get an extended warranty with it.",320
"Beats other brands on plain paper only in high quality mode, best choice anyway based on print quality - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Just bought this one tonight.",321
"Tested against the Canon MG5420 and against the Epson 810 and HP 8600 using plain inkjet paper (not multipurpose copy paper).",322
"Now that I've got it home, can't wait to try some photos and a printable DVD.",323
"I reset each printer to factory defaults and ran them through a head alignment.",324
"The print quality for all three was markedly different in style.",325
"All were pretty good, but weren't as good as my old HP Photosmart had been when it was brand new.",326
"Printers, like everything else, are being engineered junkier and junkier as they drive down price and add gee-whiz features.",327
"In standard mode, the MG5420 and MX922 both suffer notably from banding on solid-colored fields.",328
"I'm astonished that Canon management allows this to go on, there must be a fix.",329
"If you switch from standard to high quality mode, the banding is gone, completely.",330
"Print quality is nearly flawless.",331
"Is it using much more ink, or just moving the print head and carriage more slowly?",332
"This was the best print of all the printers in regular and high quality mode, and both Canon prints looked the same.",333
"The HP 8600 had minor, less noticeable banding, but also had some weird squiggly thing going on so that the images had faint jagged lines through them that reminded me of a TV picture scrambled by a ham or CB radio.",334
"The Epson has the smoothest and most uniform print.",335
"It looked flawlessly uniform, but also slightly hazy and dull.",336
"The Epson had the best picture for uniformity by far.",337
"If only its colors popped like the Canon, or if the Canon could figure out how to deposit the ink more uniformly.",338
"The Epson also has cheap price per page.",339
"The 5420 took ...f.o.r.e.v.e.r...",340
"to start printing.",341
"You would hear it make some noise, thinking maybe it was about to start, but it would grind on and on and on, and I was convinced it was pumping massive quantities of ink into the waste ink reservoir.",342
"It was depressing.",343
"The 922 uses the same ink cartridges so must share some parts in common, yet it started printing right away.",344
"It's poised as a lite business class printer and nobody's going to tolerate waiting so long for their print in a business environment.",345
"But after printing, it's grinding away too, probably wasting ink.",346
"Jesus.",347
"Overall, I wanted to get the Epson and tolerate the dull colors because of the amazing uniformity in standard mode, and the cheap prints.",348
"And I liked the HP for the sturdiness and excellent control panel.",349
"But my spouse vetoed them both.",350
"She liked the Canon prints the best because of the color, contrast and sharpness, and preferred the 922 because the 5420 was so slow.",351
"In high quality mode, its plain paper prints are the best.",352
"Did not do any testing on photo paper.",353
"Both the 5420 and 922 are subjectively rattlely and not rugged compared to the Epson and HP, plus they both have flimsy and awkward control buttons compared to the Epson and HP controls, which are touch screen units.",354
"But they're older models.",355
"I didn't check the other printers' power connections, but this one takes an AC cord, no annoying brick or wall wart.",356
"Wifi setup was really easy, it gave me a list of access points, I picked my router and entered in the WPA2 key using the buttons.",357
"It came with a CD for the driver, I can't for the life of me figure out why these printers don't serve up their own driver automatically, the way the printers at work hosted by print servers do.",358
"Is it 2013 or not?",359
"The MX922 belongs at a sub-$120 price point in my book.",360
"We got it for a steal because the brick and mortar store price-matches items shipped and sold by Amazon, and Amazon is giving these things away today on Cyber Monday.",361
"But we'd have grudgingly paid $150 for it over the other two brands which were in the $130 range, and the super-cheap but excruciatingly slow $50 MG5420.",362
"Canon printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Like the printer, prints great 4x6 photos and like the easy wireless setup.",363
"Uses a lot of ink but I try to keep spare ink around.",364
"very disappointing - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I had a Canon Pixma Pro 9000 that work flawlessly until it suddenly died.",365
"So I replaced it with this printer.",366
"We were all excited, especially my wife so that she didn't have to walk all the way to my office, plug the usb cord to print.",367
"It work as a charm for a few days.",368
"And now the wireless function gives an error 6901.",369
"It says Cancel Printing but there is NOWHERE on the printer where you can do that.",370
"There no manual also.",371
"We turned it off, unplugged it, turned off the wi-fi but without any results.",372
"We went back to the ""old fashion corded way"" and it prints.",373
"The other thing I don't like is that it takes 5 good mn to get ready, so we just leave it on all the time.",374
"I hate to waste electricity but I also hate to wait those 5mn.",375
"I don't recommend this printer",376
"Love it!",377
"- Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I love the quality of the Canon Photo printer.",378
"The only negative I feel it has is the fact that it is painfully slow when making copies but I guess I'd prefer quality over speed, though I'd love to have both.",379
"Great product otherwise and amazingly clear photos.",380
"I must say I LOVE the fact that I can print from my phone, ipad, flash drive, you name it!",381
"LOVE that feature!",382
"I'd actually give this a 4 3/4 if possible.",383
"Good printer, software issues - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) As is typical with Canon, print quality is good, but software support is lacking.",384
"There are multiple issues, some of which were fixed in latest firmware upgrade.",385
"Installing all OC the canon utilities is kind of annoying, as it comes with way too many software features.",386
"Alas, there is no scan software for Win 7 document scanning.",387
"Pros No setup for iPad & iPhone AirPrint compatible Windows XP support for quick scan utility Scan to USB, fast & high quality Duplex printing Wifi (WPS one touch setup works great) Great packaging, easy lift handles to remove from box Large paper tray Cons 1-2 minutes to start printing first page after coming out of standby No scan utility for Win 7 PCs, need to download your own scanning software!!!",388
"iPad/iPhone printing often selects manual feed tray, requires reset to fix Ink is used VERY quickly Wifi printing large files up to 5min /page No wifi status, always shows blue even if its not working Scanner jams easily Overall, a good printer.",389
"I hope than Canon works to improve the software support though.",390
"Canon PIXMA - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) So far I love this printer.",391
"I decided against another HP printer and bought this printer.",392
"It had some really nice reviews along with a couple of scathing reviews.",393
"Installation was flawless on my desktop (XP) and my (win 7) laptop.",394
"Wireless and Fax installed easily.",395
"It has two paper drawers, so photo paper can always be in the tray.",396
"Second drawer always has plain 8X10.",397
