Data Transfer/Transmission/Cloud Connectivity-SA,Data Transfer/Transmission/Wireless Connectivity-SA,Data Transfer/Transmission/Wireless Setup-SA,Data Transfer/Transmission/Data Transfer Error-SA,Body/Design/Size-SA,Body/Design/Initialization Speed-SA,Body/Design/Build Quality-SA,Body/Design/Audible Noise-SA,OS Compatibility/iOS Compatibility-SA,OS Compatibility/Mac Compatibility-SA,OS Compatibility/Windows Compatibility-SA,Print Quality/Color Print Quality-SA,Print Quality/Overall Print Quality-SA,Print Quality/Monochrome Print Quality-SA,Print Quality/Print Speed-SA,Print Quality/Duplex Printing-SA,Error Messages/Error B200-SA,Error Messages/Non-specific/Unknown-SA,Error Messages/Paper Jam-SA,Ink/Ink Consumption-SA,Printing Media/Paper Feed-SA,Printing Media/CD/DVD Printing-SA,Customer Care/Agent Knowledge-SA,Customer Care/Overall Customer Service-SA,Software/Driver Performance-SA,Product Documentation/Documentation Clarity-SA,Product Documentation/Documentation Format-SA,Feature Request/Paper Feed Options-SA,Settings & Modes/Sleep/Power Save Mode-SA,Fax/Scan Function/Fax/Scan Operation-SA,Features & Functions/Menu Functions-SA,Sentence,Sentence#
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"Again, you can search the guide for the words ""printable disc"" or the internet for ""mx922 print disc"" but, again, you will only find reference to the fact that this printer can print on discs but nowhere does it tell you how.",37
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+ The color printing is a bit pale/ dull I guess (I dont know why - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Overall, this is a mighty multi-task Printer with very reasonable price.",38
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3 stars based on that it could not communicate with ... - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) 3 stars based on that it could not communicate with my pc.",40
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not sure if that meant a problem with the printer, or a problem with my laptop.",41
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I am going to send my laptop out to ASUS for service soon, since it is almost 5 years old.",42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"But tech support with Canon did troubleshoot w/ me and could not find the problem.",43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"I called tech support that does my anti-virus and they found nothing that would have shown to block the printer from communicating.",44
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"So I will not say it is the printers fault or my laptops fault.",45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"I love the Canon printers but I don't know what they were thinking with this one. - No rear feed tray.",50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"If you want to print an Envelope or on different paper stock, you need to remove the regular paper from the paper tray, adjust the tray for the new paper and then print. - No Navigator - Big mistake - new way to scan documents is very difficult to navigate.",51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"As soon as I burn through some ink cartridges that I purchased with the printer I will be dumping this one and looking into HP or EPSON.",55
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A little bulky and seems to make a lot of ... - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) A little bulky and seems to make a lot of random noises during print but final results are height quality.",56
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Works well in wireless mode.",57
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A little large, but everything works great. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The printer was a little larger than I anticipated, but nevertheless it works great.",59
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Set up is very easy.",60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Operation is a no brainer.",61
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Love the fact that it's wireless.",62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"A lot more user friendly than its predecessor - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Much easier to use.",63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Only complaint, and nothing new, it goes through ink pretty quickly and, of course, the ink cartridge replacements are steep.",64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"If you use your printer every couple days most of your ink is used up in cleaning the printer heads during the warmup cycle.",67
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A piece of junk - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Here is the problem!",69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Looked nice sounded nice BUT the first one I got didn't work, got a code 6000 paper jam code, before I could get to putting in the cartridges, called Canon they couldn't help me all they wanted to do was send me a reconditioned printer!",70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"followed direction like I did on the first one only more carefully, I got to the same point and it gave a code 5101 a piece of packing tape not removed code well all the tape was removed but the code would not go away!",74
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Setting it up for Wi-Fi printing was very easy.",79
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It takes a while to warm up before printing, but I hope Canon will shorten the warm up time in the future.",80
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"ADF does not work - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The automatic document feeder (ADF) does not work, and I am not crazy about the menu, and not the easiest to operate.",82
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Acceptable print quality but fax is utterly useless - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Perhaps what I have experienced with this machine is reflective of the vagaries associated with multi-function devices.",83
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The print quality is acceptable if one never wishes to print images larger than 8.5 X 11.good but far from great, but that is to be expected with machines of this genre.",84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Yes, I have read and re-read the manual but I have never been able to send a fax despite multiple efforts.",86
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Print quality is excellent.",93
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Photos printed on a good glossy paper have lots of vibrance and look good.",94
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"All text documents are good, though not as sharp as laser printed documents.",95
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"One try is used for photo papers, which is really nice if you print a lot of photos.",100
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I noticed that a number of people complain of difficulties using WiFi with this unit.",105
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"My installation went smoothly.",106
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I strongly urge reading the installation guide if you intend to use WiFi.",107
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The MX922 does a good job of printing office documents and photographs.",110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"It is a more than adequate scanner and copier and fax, all of which share the same technology.",111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"The MX922 is not an ink hog, though cartridges are still more costly than I would like.",112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Duplex printing is jam-free, but feels a bit on the slow side.",114
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Overall, I think the design of this unit is slanted more toward the home user, with its emphasis on photo printing and inconvenient paper handling.",116
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"I've put it through it's paces over the past month and here are my thoughts on it: PROs: -Individual Ink Cartridges: You only need to replace the color(s) that you use vice an all-in-one color ink cartridge that HP and other manufacturers use.",123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"No more paper sticking out the end of the printer when you're not using it.",125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"I don't recall the exact number, but it hold approximately 200 pages in the tray. -Scanner Feed Tray and Double-Sided Scanning: The top tray holds 35 pages.",127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Load everything up and it will scan or copy double sided. -Duplex Printing: You can print double sided.",130
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"This saves on paper big time. -Wireless Ease of Use: I've printed wirelessly from both my MacBook and iPhone.",132
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No issues at all and a big upgrade from the cumbersome systems used in early wireless printers.",133
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"You can even print from outside the house, as long as the printer is on and connected to the internet.",134
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"While it's not cost effective to use this as the source for all of your formatted paper needs, it works well if you only need a few sheets or if you're in a pinch. -Setup: Easy.",136
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The printer was connected and working in less than five minutes. -Buttons: A lot of the printers that I looked at had touch screens..",139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"This one is easy to use and the backlit buttons change functions based on what options your using.",143
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONs: -Size: This printer is HUGE!",144
0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Easy setup, flawless printing from a Windows 7 desktop, a Windows 8 laptop, an Iphone 5 and an Ipad, all wireless.",158
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"It's much quieter, Photo quality is wonderful and ink usage seems minimal (despite printing lots of photos the ""starter"" ink packs still show about 1/2 full).",159
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"An excellent multi-function - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) A bit large and noisy but produces excellent copies and documents.",162
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The new copier feels cheaply made, one-hundred percent plastic.",170
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"After completing the tedious business of aligning the ink heads, my next problem was getting the thing hooked up to the Internet.",173
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I've installed several computers and connected them to WiFi with little effort.",174
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I needed a magnifying glass so I wouldn't press the other pin-sized button next to it by mistake, which could possibly have destroyed our entire WiFi system.",182
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Installing the disc so that the printer would work with a laptop took a very, VERY long time.",188
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"When it finally finished installing and started running a registration feature, I was so annoyed that I just hit a box that said ""Yes"" and, strangely enough, it complied.",191
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very easy setup for wifi and fax operation.",202
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No problems at all with using any features via wifi.",203
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The only issues I have with the printer is during an idle period it makes a lot of clicking/clattering sounds - perhaps going through a self-check or maintenance cycle.",204
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I have also had a few paper jams, not sure why.",205
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Print and scan quality very good.",206
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Best for business vs - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Much bigger and more complicated than I expected.",209
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Set up not too hard, but takes a long time to initially print , sometimes as long as 1-2 minutes??",211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Also, I would prefer to have the ability to print an envelope from a different tray, rather than having to remove all the current paper from the cartridge, set it up for envelope, return it to the printer, then print the envelope.",221
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The only thing really cool about this printer is its wireless networking ability.",224
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It was easily installed on the network, and the airprint option for the iPhones is awesome!",225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Seriously, if you need Canon CLI-8 or PGI-5BK ink, I have two complete sets.",227
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Attracts Dust - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The only ""con"" is that the black one, which I purchased, shows and attracts every speck of dust that flies its way.",229
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Avoid - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Clunky,unresponsive,slow,loud.Hard to believe Canon produced this.",231
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Awesome Deal.....Thank You Amazon for Black Friday Price - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Printer setup was extremely EASY....",236
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I got three iPads setup also two galaxy s3 set ups and one notebook air setup.",238
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Also one windows 7 x64 setup.",239
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Only negative I see is that it is one big/bulky printer....but that's it.",240
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Don't know why people having issues connecting printer to wifi router.",241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double sided printing saves me a bunch of paper.",242
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I will eventually setup a continuous ink flow so ink will not be a factor.",243
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Only problem is no manual.",248
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BIG Footprint!",251
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Noisy - but cheap - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The printer is over the top sophisticated for me.",252
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It makes a LOT of funny noises at odd times.",253
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Once it is ready it prints slowly.",254
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"But it seems to take forever to get ready to print!",255
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Huge footprint.",256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"SUCKS ink!",257
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Be forewarned, this printer is slow.",260
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It takes around 20 seconds to print a sheet of paper.",261
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The print quality is good but not great.",263
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"The printer is noisy - not really really loud but noisy enough that you notice it and just as you begin to wonder if something is wrong, it prints out the sheet and is ok.&#13;&#10;&#13;&#10;Loading paper and ink cartridges is easy, no problem there.&#13;&#10;&#13;&#10;Setup was not hard but not real easy either.",264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"The refusal of manufacturers to send manuals makes it a bit difficult.",265
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I spent about 10 minutes finding the user manuals on the canon site and downloading them to my laptop.&#13;&#10;&#13;&#10;Wireless and cloud setup and registration takes a few minutes but was not too hard.",267
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"One problem I had was that after I got it setup and working I had a power outage in my home.",268
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"My laptop reported it offline no matter what I did.",270
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The printer would print a test page from the machine's keypad, but I couldn't print from my laptop.",271
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"But nothing in these forums solved my problem - my printer really was offline as far as wireless and cloud printing was concerned.",273
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I finally deleted the printer from Google's cloud registration service page and reran the setup and re-registered the printer and it began working again.",274
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"I haven't faxed anything from this printer and probably won't so I don't know how that service works.&#13;&#10;&#13;&#10;For $99 I really cannot complain but if you are going to purchase this printer be aware of the items I mentioned above.",277
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Be prepared: No Manual or Rear Paper Feed for envelopes, labels, etc. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) This is my 3rd Canon printer -- it operates much like the prior printers in terms of printing, scanning and faxing.",278
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"I knocked off two stars because it is the ONLY printer I've had that has no ""manual"" feed slot.",279
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Then, unload the paper, resize the tray, load envelopes, and then print the envelopes.",284
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Plus, unless you are printing pictures, the 2nd paper tray is completely useless.",286
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I took another star off because the ink cartridges have gotten even smaller and this thing is LOUD compared to my other Canon all-in-ones.",290
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"My husband & I were looking forward to the wireless printing, which I had never set up on our MX700.",293
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A little trying to setup wireless.",294
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Initially it would not recognize the wireless device and no WPS button to push, what????",295
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Turned it off, unplugged it, disabled the Wi-Fi, restored my computer to earlier date and then set it up using the cable and it printed the test page and picture with no problem.",302
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"It is noisy (even on the quiet mode) and takes forever to do anything, so I am leaving it on all the time.",303
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Print quality is nearly flawless.",315
