,subtopic,Total,YesYes,YesNo,NoYes,NoNo,TruePositive%,TrueNegative%,FalsePositive%,FalseNegative%
15,Body/Design/Unit Locks Up-SA,9,2,7,4,1504,0.2222222222222222,167.11111111111111,0.4444444444444444,0.7777777777777778
16,OS Compatibility/Android Compatibility-SA,12,2,10,3,1502,0.16666666666666666,125.16666666666667,0.25,0.8333333333333334
17,OS Compatibility/iOS Compatibility-SA,32,22,10,9,1476,0.6875,46.125,0.28125,0.3125
18,OS Compatibility/Mac Compatibility-SA,65,54,11,4,1448,0.8307692307692308,22.276923076923076,0.06153846153846154,0.16923076923076924
19,OS Compatibility/Windows Compatibility-SA,129,116,13,5,1383,0.8992248062015504,10.720930232558139,0.03875968992248062,0.10077519379844961
20,OS Compatibility/Other OS Compatibility-SA,1,0,1,3,1513,0.0,1513.0,3.0,1.0
21,OS Compatibility/Windows Mobile Compatibility-SA,0,0,0,0,1517,NA,NA,NA,NA
22,OS Compatibility/Non-Specific O.S. Compatibility-SA,3,1,2,1,1513,0.3333333333333333,504.3333333333333,0.3333333333333333,0.6666666666666666
23,Print Quality/Color Print Quality-SA,69,35,34,22,1426,0.5072463768115942,20.666666666666668,0.3188405797101449,0.4927536231884058
24,Print Quality/Overall Print Quality-SA,82,52,30,38,1397,0.6341463414634146,17.036585365853657,0.4634146341463415,0.36585365853658536
25,Print Quality/Monochrome Print Quality-SA,30,13,17,14,1473,0.43333333333333335,49.1,0.4666666666666667,0.5666666666666667
26,Print Quality/Print Speed-SA,68,38,30,13,1436,0.5588235294117647,21.11764705882353,0.19117647058823528,0.4411764705882353
27,Print Quality/Borders/Margins-SA,1,0,1,1,1515,0.0,1515.0,1.0,1.0
28,Print Quality/Duplex Printing-SA,17,6,11,3,1497,0.35294117647058826,88.05882352941177,0.17647058823529413,0.6470588235294118
29,Print Quality/Print Banding-SA,6,0,6,1,1510,0.0,251.66666666666666,0.16666666666666666,1.0
30,Print Quality/Print Permanence-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
31,Error Messages/Busy Message-SA,3,2,1,0,1514,0.6666666666666666,504.6666666666667,0.0,0.3333333333333333
32,Error Messages/Error 1007-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
33,Error Messages/Error 1008-SA,6,0,6,1,1510,0.0,251.66666666666666,0.16666666666666666,1.0
34,Error Messages/Error 1403-SA,3,0,3,0,1514,0.0,504.6666666666667,0.0,1.0
35,Error Messages/Error 2500-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
36,Error Messages/Error 5011-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
37,Error Messages/Error 5100-SA,0,0,0,0,1517,NA,NA,NA,NA
38,Error Messages/Error 6000-SA,11,6,5,0,1506,0.5454545454545454,136.9090909090909,0.0,0.45454545454545453
39,Error Messages/Error 6001-SA,5,1,4,0,1512,0.2,302.4,0.0,0.8
40,Error Messages/Error B200-SA,15,13,2,1,1501,0.8666666666666667,100.06666666666666,0.06666666666666667,0.13333333333333333
41,Error Messages/Error U052-SA,3,0,3,0,1514,0.0,504.6666666666667,0.0,1.0
42,Error Messages/Memory Card Error-SA,0,0,0,0,1517,NA,NA,NA,NA
43,Error Messages/Non-specific/Unknown-SA,67,45,22,16,1434,0.6716417910447762,21.402985074626866,0.23880597014925373,0.3283582089552239
44,Error Messages/Scanner Error-SA,7,5,2,0,1510,0.7142857142857143,215.71428571428572,0.0,0.2857142857142857
45,Error Messages/Unrecognized Ink Tank-SA,0,0,0,0,1517,NA,NA,NA,NA
46,Error Messages/Paper Jam-SA,38,25,13,8,1471,0.6578947368421053,38.71052631578947,0.21052631578947367,0.34210526315789475
47,Ink/Ink Consumption-SA,85,60,25,24,1408,0.7058823529411765,16.564705882352943,0.2823529411764706,0.29411764705882354
48,Ink/Clogged Nozzles-SA,5,0,5,1,1511,0.0,302.2,0.2,1.0
49,Ink/Bad Chip-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
50,Ink/Ink Tank Capacity-SA,12,1,11,0,1505,0.08333333333333333,125.41666666666667,0.0,0.9166666666666666
51,Ink/Ink Level Warning-SA,10,2,8,3,1504,0.2,150.4,0.3,0.8
52,Printing Media/Paper Feed-SA,102,73,29,18,1397,0.7156862745098039,13.696078431372548,0.17647058823529413,0.28431372549019607
53,Printing Media/CD/DVD Printing-SA,18,6,12,6,1493,0.3333333333333333,82.94444444444444,0.3333333333333333,0.6666666666666666
54,Printing Media/Media Size-SA,4,1,3,5,1508,0.25,377.0,1.25,0.75
55,Retail Experience/Selling Price-SA,72,57,15,15,1430,0.7916666666666666,19.86111111111111,0.20833333333333334,0.20833333333333334
56,Customer Care/Agent Follow Up-SA,2,0,2,0,1515,0.0,757.5,0.0,1.0
57,Customer Care/Agent Knowledge-SA,14,5,9,5,1498,0.35714285714285715,107.0,0.35714285714285715,0.6428571428571429
58,Customer Care/Email Support-SA,2,0,2,0,1515,0.0,757.5,0.0,1.0
59,Customer Care/Hours of Operation-SA,7,0,7,1,1509,0.0,215.57142857142858,0.14285714285714285,1.0
60,Customer Care/Warranty Terms-SA,5,0,5,3,1509,0.0,301.8,0.6,1.0
61,Customer Care/Agent Courtesy-SA,8,0,8,1,1508,0.0,188.5,0.125,1.0
62,Customer Care/Non-Canon Repair Service-SA,0,0,0,0,1517,NA,NA,NA,NA
63,Customer Care/Non-Canon Support Service-SA,1,0,1,4,1512,0.0,1512.0,4.0,1.0
64,Customer Care/Repair Cost Quote/Fee-SA,2,1,1,1,1514,0.5,757.0,0.5,0.5
65,Customer Care/Repair Shipping-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
66,Customer Care/Repair Turnaround Time-SA,0,0,0,0,1517,NA,NA,NA,NA
67,Customer Care/Canon Direct Customer Service-SA,0,0,0,0,1517,NA,NA,NA,NA
68,Customer Care/Service Replacement System-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
69,Customer Care/3rd Party Extended-SA,3,0,3,0,1514,0.0,504.6666666666667,0.0,1.0
70,Customer Care/Loyalty Program-SA,0,0,0,0,1517,NA,NA,NA,NA
71,Customer Care/Overall Customer Service-SA,42,29,13,17,1458,0.6904761904761905,34.714285714285715,0.40476190476190477,0.30952380952380953
72,Software/3rd Party Software-SA,4,0,4,0,1513,0.0,378.25,0.0,1.0
73,Software/Driver Performance-SA,14,6,8,2,1501,0.42857142857142855,107.21428571428571,0.14285714285714285,0.5714285714285714
74,Product Documentation/Documentation Clarity-SA,22,0,22,4,1491,0.0,67.77272727272727,0.18181818181818182,1.0
75,Product Documentation/Documentation Format-SA,12,1,11,2,1503,0.08333333333333333,125.25,0.16666666666666666,0.9166666666666666
76,Feature Request/Paper Feed Options-SA,24,15,9,8,1485,0.625,61.875,0.3333333333333333,0.375
77,Feature Request/Touchscreen-SA,2,1,1,0,1515,0.5,757.5,0.0,0.5
78,Feature Request/Photo Editing Function-SA,0,0,0,0,1517,NA,NA,NA,NA
79,Settings & Modes/Sleep/Power Save Mode-SA,9,4,5,5,1503,0.4444444444444444,167.0,0.5555555555555556,0.5555555555555556
80,LCD/LCD Dead-SA,0,0,0,0,1517,NA,NA,NA,NA
81,LCD/LCD Visibility-SA,5,0,5,0,1512,0.0,302.4,0.0,1.0
82,Software Function/Usability: Interface-SA,1,0,1,1,1515,0.0,1515.0,1.0,1.0
83,Software Function/Usability: Workflow-SA,2,0,2,0,1515,0.0,757.5,0.0,1.0
84,Accessories/3rd Party Accessories-SA,1,0,1,1,1515,0.0,1515.0,1.0,1.0
85,Software Installation/Android Installation-SA,0,0,0,0,1517,NA,NA,NA,NA
86,Software Installation/PC Installation-SA,2,0,2,1,1514,0.0,757.0,0.5,1.0
87,Fax/Scan Function/Fax/Scan Operation-SA,84,41,43,31,1402,0.4880952380952381,16.69047619047619,0.36904761904761907,0.5119047619047619
88,Fax/Scan Function/Fax/Scan Quality-SA,8,1,7,5,1504,0.125,188.0,0.625,0.875
89,Fax/Scan Function/Fax/Scan Speed-SA,3,0,3,2,1512,0.0,504.0,0.6666666666666666,1.0
90,Safety/Burnt Smell-SA,0,0,0,0,1517,NA,NA,NA,NA
91,Memory/Media/Media Compatibility-SA,1,0,1,0,1516,0.0,1516.0,0.0,1.0
