Sentence#,Wireless Setup,Wireless Connectivity,Windows Compatibility,Selling Price,Paper Feed,Overall Print Quality,Sentence,Wireless Setup_predicted,Wireless Connectivity_predicted,Windows Compatibility_predicted,Selling Price_predicted,Paper Feed_predicted,Overall Print Quality_predicted
2148,1,1,1,0,0,0,"This has been simple to set up and use, has terrific wireless range, and let's me print straight from my iPhone, iPad and laptops.",1.0,1.0,1.0,0.0,0.0,0.0
13576,0,0,0,0,0,0,"Hi Eismann423, Uninstalling and reinstalling the driver should resolve this issue.",0.0,0.0,0.0,0.0,0.0,0.0
18082,0,0,0,0,0,1,General Feature/Design Issues for Printing Envelop - Am a loyal Canon printer customer.,0.0,0.0,0.0,0.0,0.0,0.0
16890,0,0,0,0,0,0,"Re: Canon Pixma MX922 Photo Border Wrong - Also, I'm using photoshop cs4 on Mac OSX When I print borderless, it still prints with the image too far too the left, making a margin on the right, top, and bottom of the paper",0.0,0.0,0.0,0.0,0.0,1.0
8565,0,0,0,0,0,0,Its not a bad product but there are certainly better products in the same price range.,0.0,0.0,0.0,1.0,0.0,0.0
4064,0,0,0,1,0,0,"Great product and price overall - What's great about it: Functionality . What's not so great: 1st print of the day takes a while for printer to initialize Good printer, great price.",0.0,0.0,0.0,1.0,0.0,0.0
2444,1,0,0,0,0,0,"Good printer after finally setting up - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I give four stars to this printer, only because of Canon Support, or lack of!",1.0,0.0,0.0,0.0,0.0,0.0
1938,0,0,0,0,1,0,"The smaller tray is for smaller sized prints and, I really liked this one, a place for making a label for computer discs such as a CD or DVD label.",0.0,0.0,0.0,0.0,0.0,1.0
8285,0,0,0,0,0,0,blah - Don't understand these ink jet prints..they take forever to start up.,0.0,0.0,0.0,0.0,0.0,0.0
13675,1,0,0,0,0,0,It's possible the error codes you are running into are affecting the installation.,0.0,0.0,0.0,0.0,0.0,0.0
17210,1,0,0,0,0,0,Follow the prompts and the installation will complete.,1.0,0.0,0.0,0.0,0.0,0.0
15509,0,0,0,0,0,0,"the cartridges last well, the printer is fast and quiet.....I am very happy with canon and their printer!",0.0,0.0,0.0,0.0,0.0,0.0
16801,0,0,0,0,0,0,Telephone help was a life saver but takes more time.,0.0,0.0,0.0,0.0,0.0,0.0
1303,0,0,0,0,0,0,"Canon, Epson and HP (and smaller other players) fight hard to outdo each other so consumers will buy their products - and become enslaved to the expensive ink cartridges.",0.0,0.0,0.0,1.0,0.0,0.0
3328,0,0,0,1,0,0,It can be a little slow when it comes down to printing but the reduced prices says you get what you pay for.,0.0,1.0,0.0,0.0,0.0,0.0
14365,0,0,0,0,0,0,"You have to experiment with paper and settings a bit, but I can send a print request directly from my iPhone and it knows to print a 4x6 glossy from the middle tray automatically.",0.0,0.0,0.0,0.0,1.0,0.0
15084,0,0,0,0,0,0,I have a Mac computer operating with Yosemite 10-10-5.,0.0,1.0,0.0,0.0,0.0,0.0
737,0,0,0,0,0,0,"In particular, scanning is much harder to do than on my old HP printer because there is no indication of where to find the scanned file or how to print it.",0.0,0.0,0.0,0.0,0.0,0.0
2369,0,0,0,0,0,0,Prints high quality images on DVDs.,0.0,0.0,0.0,0.0,0.0,1.0
6167,0,1,0,0,0,0,The wireless connection was mostly painless & was done in under 5 minutes.,1.0,0.0,0.0,0.0,0.0,0.0
4664,1,0,0,0,0,0,I just think the instructions could have been more clear on what to do for the wireless setup.,1.0,1.0,0.0,0.0,0.0,0.0
11324,0,1,0,0,0,0,"From the Cloud Print homepage, I deleted my printer, then from the printer went to register again and received a ""cannot connect to server"" error.",0.0,1.0,0.0,0.0,0.0,0.0
16648,0,1,0,0,0,0,- Sometimes wireless signals can interfere with the printer (especially connected wirelessly).,0.0,1.0,0.0,0.0,0.0,0.0
5675,0,0,0,0,0,0,"that we need a message board to ""figure stuff out"" is pretty obvious you need to try a little harder with your devices.",0.0,0.0,0.0,0.0,0.0,0.0
4460,0,0,0,0,0,0,I could print one but then of course I'd need to use up my ink.,0.0,0.0,0.0,0.0,0.0,0.0
1529,0,0,0,0,0,0,Things I don't like so much: it takes a few minutes to warm up.,0.0,0.0,0.0,0.0,0.0,0.0
19016,0,0,0,0,1,0,"i had a 43-pg doc that i had to scan; i did it in 2 steps (ADF takes 35 pages), & it did it in about 10 minutes.",0.0,0.0,0.0,0.0,1.0,0.0
5064,0,0,0,0,0,0,Ink seems to go quicker than my last Epson.,0.0,0.0,0.0,0.0,0.0,0.0
12324,1,0,0,0,0,0,"Files will extract, follow the prompts to complete installation. 12.",1.0,0.0,0.0,0.0,0.0,0.0
19941,0,0,0,0,0,0,If you sort it out with chaning some settings either on the printer or mac could you let me know what you did to sort it Thanks Peter,0.0,1.0,0.0,0.0,0.0,0.0
16746,0,0,0,0,0,0,If I find out that the cleaning process is using ink I will have to give it a 3 star rating because it goes thru this process more and longer that I think is necessary.,0.0,0.0,0.0,0.0,0.0,0.0
5506,0,0,1,0,0,0,"I wanted to submit this ""rose"" for Jim @ station 209-14-F with Canon: I was extremely impressed with his expertise, courtesy, and professionalism throughout my call for help getting my Canon MX922 reconnected with my computer after an upgrade from Vista software to Windows 7.",0.0,0.0,1.0,0.0,0.0,0.0
19048,0,0,0,0,0,0,I still have cli 250 & 251 ink so now I am looking for another canon printer that uses the same ink.,0.0,0.0,0.0,0.0,0.0,0.0
4226,0,0,0,0,0,0,have been thru 2 sessions with canon tech support.no help.,0.0,0.0,0.0,0.0,0.0,0.0
13959,0,1,0,0,0,0,"Re: MX922 not connecting wirelessly - Hi LCKJohnson, Disabling the Wireless LAN DRX and IPv6 settings on the printer may resolve the issue.",0.0,1.0,0.0,0.0,0.0,0.0
731,0,1,1,0,0,0,"But about half the time, the printer drops wireless print tasks from the laptop downstairs even though we are only 30 feet away at the most.",0.0,1.0,1.0,0.0,0.0,0.0
908,1,0,0,0,1,0,"Also, I would prefer to have the ability to print an envelope from a different tray, rather than having to remove all the current paper from the cartridge, set it up for envelope, return it to the printer, then print the envelope.",0.0,0.0,0.0,0.0,1.0,0.0
13820,0,0,0,0,0,0,After I print/copy it is quiet for a minute and then goes through this minute plus noisy jag like it is trying to feed paper or something.,0.0,0.0,0.0,0.0,1.0,0.0
8313,0,0,0,0,0,0,I wish I had bought an HP.,0.0,0.0,0.0,0.0,0.0,0.0
10438,1,0,0,0,0,0,Re: Trying to set up PIXMA MX922 on a student network.,1.0,0.0,0.0,0.0,0.0,0.0
18981,0,0,0,0,0,0,Really Great Printer - Possibly Short Life - First - the good.,0.0,0.0,0.0,0.0,0.0,0.0
80,0,0,0,0,0,0,"People say it's slow during initial start up, no it's a turtle compared to my old lexmark.",0.0,0.0,0.0,0.0,0.0,0.0
1126,1,0,0,0,0,0,It was very easy to install.,1.0,0.0,0.0,0.0,0.0,0.0
11895,1,1,0,0,1,0,Setup shows that it is set to use the bottom tray but whenever I actually try and print anything from any program the printer provides an error message indicating I need to add paper to the top tray.,0.0,0.0,0.0,0.0,1.0,0.0
15743,0,0,0,0,0,0,I estimate that I got 2-3x more printed pages from my Lexmark cartridges!,0.0,0.0,0.0,0.0,0.0,0.0
7275,1,1,0,0,0,0,The wireless printing works well but setting it up can be frustrating for people not familiar with doing so..,1.0,1.0,0.0,0.0,0.0,0.0
5946,0,0,1,0,0,0,i have only one laptop.,0.0,0.0,1.0,0.0,0.0,0.0
7595,0,0,0,0,0,0,really goes through the ink cartridges QUICKLY!,0.0,0.0,0.0,0.0,0.0,0.0
10268,0,0,0,0,0,0,"I unplugged the printer for several hours, plugged back in, error returns.",0.0,0.0,0.0,0.0,0.0,0.0
2211,0,1,0,0,0,0,"I had a little difficulty getting it to operate wireless, but with reading and re-reading the instructions I finally got it online.",0.0,1.0,0.0,0.0,0.0,0.0
5113,0,0,0,0,0,1,Print quality is great.,0.0,0.0,0.0,0.0,0.0,1.0
8269,0,0,0,0,0,0,I read online and both errors are common...,0.0,0.0,0.0,0.0,0.0,0.0
10975,0,0,1,1,0,0,He said that a technician can do it for $89.99 and suggest that I get a one-year subscription for PC MAX for network security for $109.99.,0.0,1.0,1.0,0.0,0.0,0.0
7236,0,0,0,1,0,0,"ink is expensive and printing isn't as fast as others ... - ink is expensive and printing isn't as fast as others, but it gets the job done and I've had no problems with it so far",0.0,0.0,0.0,1.0,0.0,0.0
5192,0,0,0,0,0,0,"Operationally, the printer is quiet, versatile, and can do it all.",0.0,0.0,0.0,0.0,0.0,0.0
6274,0,0,0,0,0,0,"My only complaints (which I EXPECTED) are: (a) The ink isn't cheap, though the cartridges that come with it don't hold as much as the ""XL"" and ""XXL"" replacement cartridges are available, so those make the value a bit better.",0.0,0.0,0.0,1.0,0.0,0.0
13397,0,0,0,0,0,0,"Printing from the PGBK cartridge on my Pixma MX922 printer produces double, over-layered, text images causing text to be fuzzy.",0.0,0.0,0.0,0.0,0.0,0.0
8111,0,0,0,0,0,0,- Do not purchase this printer if you plan to use Google Cloud Print.,0.0,0.0,0.0,0.0,0.0,0.0
3160,0,0,0,0,0,0,I called Canon for their assistance.,0.0,0.0,0.0,0.0,0.0,0.0
2068,0,1,0,0,0,0,"AirPrint so you can print wirelessly from your iPhone, iPad, etc.",0.0,1.0,0.0,0.0,0.0,0.0
6866,0,0,0,0,0,0,I shouldn't ever have to power cycle the printer just to wake it up (especially since it probably uses up some ink to recharge the print head each time it powers on).,0.0,0.0,0.0,0.0,0.0,0.0
5130,0,0,0,0,0,0,Good printer for pics - Good printer for printing pictures.,0.0,0.0,0.0,0.0,0.0,0.0
4084,0,0,0,0,0,0,Receive error message: cannot write file.,0.0,0.0,0.0,0.0,0.0,0.0
748,0,0,0,0,0,0,"I still need to play with the settings, because the pictures are a little grainer.",0.0,0.0,0.0,0.0,0.0,0.0
14700,1,0,0,0,0,0,When i print under the option image (advance set up) -the print is pretty much (not perfect) clear.,1.0,0.0,0.0,0.0,0.0,0.0
6735,1,0,0,0,0,0,I am trying to setup my new MX922 printer with a new imac.,1.0,0.0,0.0,0.0,0.0,0.0
9272,0,1,1,0,0,0,Printer is connected to laptop.,0.0,1.0,1.0,0.0,0.0,0.0
3553,0,0,1,0,0,0,"Complaints --> The 1st page takes 2 minutes or more to begin (Windows or Linux), but is a little faster than my older MP780 once it gets going.",0.0,0.0,1.0,0.0,0.0,0.0
3096,1,0,0,0,0,0,"It is not real fast in getting set up for the first printing page, but after that it runs well.",1.0,0.0,0.0,0.0,0.0,0.0
2525,0,0,0,0,0,0,"Constant whirring and spinning. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) If you had a canon all-in-one MX printer before, you would have enjoyed using the scanning software that came with it.",0.0,0.0,0.0,0.0,0.0,0.0
4793,0,1,0,1,0,1,"Great Price and Value - What's great about it: Superb Print Quality and Reliability . What's not so great: Tricky getting WiFi feature to work, warm up is slow This printer has been out there a while with good reason.",0.0,0.0,0.0,1.0,0.0,0.0
18418,0,0,0,0,1,0,Receiving error code 2801 ADF in error.,0.0,0.0,0.0,0.0,1.0,0.0
984,0,0,0,1,0,0,You will be stuck having to buy ink cartridges from Canon at their exorbitant prices.,0.0,0.0,0.0,0.0,0.0,0.0
14528,1,0,0,0,0,0,"My workflow is as follows: Set up the design in Image Garden Select ""Print"" Settings are: Printer: Canon MX920 Printer Paper Size: Standard disk 4.7"" 120mm (small inner circle) Media Type: Printable disk (recommended) Paper Source: Disc Tray Print Range: All Print Position: Default Advance Settings: No Correction Click Print Processing message appears for 15 to 20 seconds Then the message appears ""Printer not Responding""",1.0,0.0,0.0,0.0,0.0,0.0
2668,0,0,0,0,0,0,"I promise you, it will occur to you that maybe it is broken as it spends minutes making all sorts of noises.",0.0,0.0,0.0,0.0,0.0,0.0
5151,0,1,0,0,0,0,"drops wireless connection too often - Even though recommended by consumers reports, I wish I had read the reviews on the Canon website before wasting my time with this.",0.0,0.0,0.0,0.0,0.0,0.0
15636,0,1,0,0,0,0,"Given how cheap inkjet printers are (they make their profits on the cartridges), I figured I'd get a newer model that supported printing from our iPhones and iPads.",0.0,0.0,0.0,0.0,0.0,0.0
3504,0,0,0,0,0,0,I called the tech support number and they are closed on weekends.,0.0,0.0,0.0,0.0,0.0,0.0
9941,0,0,0,0,0,0,Google Cloud Print is free and works pretty well.,0.0,0.0,0.0,0.0,0.0,0.0
844,1,0,0,0,0,0,"Wifi setup still painful - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) It's hard to understand how the setup of a wifi device can still be so hard.",1.0,0.0,0.0,0.0,0.0,0.0
9628,0,0,0,0,0,0,Doesn't print as quickly as my HP All in One 8600 though.,0.0,0.0,0.0,0.0,0.0,0.0
2584,0,0,0,0,0,0,It did not work well as a wireless printer with my Mac.,0.0,1.0,0.0,0.0,0.0,0.0
5272,0,0,0,0,0,0,It is a large printer which may not appeal to some and goes through some noisy processes when printing.,0.0,0.0,0.0,0.0,0.0,0.0
136,0,1,0,0,0,0,Then suddenly nothing would print and Google cloud print said my printer was offline.,0.0,1.0,0.0,0.0,0.0,0.0
5438,0,0,0,0,0,0,"If the paper has been loaded correctly and the error persists, additional troubleshooting will have to be done to narrow down the cause of your issue.",0.0,0.0,0.0,0.0,0.0,0.0
5041,0,1,0,0,0,0,Had no trouble printing pix from iPhone and two different computers.,0.0,1.0,0.0,0.0,0.0,0.0
17047,0,0,0,0,1,0,The printer will feed from the lower tray if a larger paper size is being sent from your app or software.,0.0,0.0,0.0,0.0,0.0,0.0
7500,0,0,0,0,0,1,"The photo print beautifully, especially on Canon paper, even with off-brand replacement ink, which is about a third of the cost of stock Canon ink.",0.0,0.0,0.0,0.0,0.0,0.0
88,0,0,0,0,0,1,Quality of printing is superb.,0.0,0.0,0.0,0.0,0.0,1.0
19439,0,0,0,0,0,0,"Hi jessadavis, It is recommended that you contact one of Canon's Technical Support Representatives.",0.0,0.0,0.0,0.0,0.0,0.0
9800,0,0,0,0,0,0,I'm running Mac OS X 10.9.,0.0,0.0,0.0,0.0,0.0,0.0
4725,0,0,0,1,0,0,but it does do duplex printing Overall thw best value I could find for the features I was looking for.,0.0,0.0,0.0,1.0,0.0,0.0
6551,0,0,0,0,0,0,All functions worked out of the box - What's great about it: 2 months later all functions working well . What's not so great: Uses ink if left powered on My previous Pixma ran for 6 years without any problems.,0.0,0.0,0.0,1.0,0.0,0.0
10062,0,0,0,0,0,0,"(printer briefly shows ""printing"" on display, but nothing happens and ""start cloud print"" from printer says no documents in queue...",0.0,0.0,0.0,0.0,0.0,0.0
715,0,0,1,0,0,0,I had nothing but problems communicating with Windows 8.,0.0,0.0,1.0,0.0,0.0,0.0
6010,1,0,0,0,0,0,"Pros: Durable construction, Easy To Set Up Cons: Hard To Use, Large Footprint Best Uses: Black & white Documents, Photos Describe Yourself: Frequent User Primary use: Personal",1.0,0.0,0.0,0.0,0.0,0.0
374,0,0,0,0,0,0,"The other thing I don't like is that it takes 5 good mn to get ready, so we just leave it on all the time.",0.0,0.0,0.0,0.0,0.0,0.0
2284,0,0,0,0,0,0,"Ink for canon printers are extremely expensive, and I've had bad experiences with third party products, so I definitely am disappointed there.",0.0,0.0,0.0,0.0,0.0,0.0
14485,0,0,0,0,0,0,Takes 5 minutes plus to print 4 pages!,0.0,0.0,0.0,0.0,0.0,0.0
9295,0,1,0,0,0,0,No success - Hard connection.,0.0,1.0,0.0,0.0,0.0,0.0
5362,0,0,0,0,1,0,"The only down fall I could see so far is that when you want to print envelopes, you have to remove the paper in the tray and load envelopes.",0.0,0.0,0.0,0.0,1.0,0.0
6231,0,0,0,0,0,0,"Pros: Dries Quickly, High Print Quality, Long Lasting Color, Sharp Tones & Colors Cons: 2nd Tray No Envelopes, No Envelopes In 2nd Tray, Short Cartridge Life, Software Unintuitive, Sw Not Intuitive Best Uses: Everyday documents, Graphics & Charts, Photos Describe Yourself: Frequent User Primary use: Personal Bottom Line: Yes",0.0,0.0,0.0,0.0,0.0,0.0
16203,0,0,0,0,0,0,So it wouldn't print and message kept popping up at the screen.,0.0,0.0,0.0,0.0,0.0,0.0
17718,0,1,0,0,0,0,"If you do not use your printer, the router will stop sending wireless signals to it and will become disconnected from the network.",0.0,1.0,0.0,0.0,0.0,0.0
11800,0,1,0,1,0,1,"Good quality prints,a little slow but price generates smiles. - Printer connected quickly and easily to all home devices.",0.0,1.0,0.0,1.0,0.0,1.0
10807,0,0,0,0,0,1,Print is good.,0.0,0.0,0.0,0.0,0.0,1.0
15029,0,0,1,0,0,0,I run Windows 10 64 bit on both of my laptops.,0.0,0.0,1.0,0.0,0.0,0.0
7062,0,0,0,0,0,0,"One thing I've learned about all ink jet printers is that you need to change the cartridges BEFORE they run out, or the ink can get hardened in the print head and destroy it.",0.0,0.0,0.0,0.0,1.0,0.0
14221,0,0,0,0,0,0,"If it is not, the door will not open properly.",0.0,0.0,0.0,0.0,0.0,0.0
16353,0,0,1,0,0,0,"I am getting a message ""Start the PC to start scanning"" - nothing I do will let me scan the photo wirelessly.",0.0,1.0,1.0,0.0,0.0,0.0
14182,0,0,0,0,0,1,When I went to print in Black the page was blank.,0.0,0.0,0.0,0.0,0.0,1.0
19409,1,0,0,0,0,0,"The printer seems to work well so far, but ... - The printer seems to work well so far, but I am very frustrated with the setup.",1.0,0.0,0.0,0.0,0.0,0.0
2933,1,0,0,0,0,0,The rest of the setup goes pretty quickly.,1.0,0.0,0.0,0.0,0.0,0.0
16562,0,1,0,0,0,0,I concluded that the printer WiFi is just faulty and erratic and thousands of people have trouble with it.,0.0,1.0,0.0,0.0,0.0,0.0
1832,0,0,0,0,1,0,"Unlike the MX860, which allowed you load both legal size paper AND envelopes easily into the rear tray and letter size paper into the lower/bottom tray, the MX922 only has two lower trays.",0.0,0.0,0.0,0.0,1.0,0.0
15332,0,0,0,0,0,0,Open the IJ Scan Utility then click Scangear to access this interface.,0.0,0.0,0.0,0.0,0.0,0.0
4851,0,0,0,1,0,0,I got mine on sale and it was worth every penny.,0.0,0.0,0.0,1.0,0.0,0.0
11114,0,0,0,0,0,1,"The dialog screen on the printer will say ""communicating"" and/or ""printing"" and the printer will make a bunch of noise as if it's going to print, but then it either spits out blank pages or prints only the first three or four lines of the document.",0.0,0.0,0.0,0.0,0.0,0.0
8656,0,0,0,0,0,0,The next time this printer runs out of ink we're going to buy another printer instead of spending the $60 for a complete set of ink cartridges.,1.0,0.0,0.0,0.0,0.0,0.0
3715,0,0,0,0,0,0,"Nice printer, but take forever to get ready to ... - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Nice printer, but take forever to get ready to print.",0.0,0.0,0.0,0.0,0.0,0.0
4307,1,1,0,0,0,0,"I want to print a photo from my iPad onto plain paper (not photo paper), but the PIXMA MX922 I just installed insists on printing to photo paper, and I can't find any way to override.",1.0,0.0,0.0,0.0,0.0,0.0
13659,0,0,0,0,0,0,"Hi williampeck1958, If you have already performed at least one cleaning and two deep cleanings on the printer, we recommend replacing the inks in the printer with Canon genuine inks to try and resolve the issue.",0.0,0.0,0.0,0.0,0.0,0.0
873,0,0,0,0,1,0,The ADF does jam if scanning paper that is old and hard to separate.,0.0,0.0,0.0,0.0,1.0,0.0
8594,0,0,0,1,0,0,And at the price it is a great value.,0.0,0.0,0.0,1.0,0.0,0.0
12293,0,0,0,0,0,0,"Once the download is complete, click on the Select button next to the MX920 series Scanner Driver.",1.0,0.0,0.0,0.0,0.0,0.0
15999,0,0,0,0,1,0,My requirements are wireless and need for ADF.,0.0,0.0,0.0,0.0,1.0,0.0
3206,0,0,0,0,0,0,I will warn you it is a bit noisy when it finishes printing.,0.0,0.0,0.0,0.0,0.0,0.0
13348,0,1,0,0,0,0,"Used it to print from computer, then copied a document.",0.0,0.0,0.0,0.0,0.0,0.0
4116,0,0,0,0,0,0,"This is how I got it to work for me: In the Canon IJ Scan Utility, click Settings, then the little screwdriver/pliers tab, and under ""Folder to Save Temporary Files"", browse to a folder that actually exists.",0.0,0.0,0.0,0.0,0.0,0.0
8004,0,0,0,0,0,0,I can't clear the jam because the paper is completely twisted up in the print cartridge.,0.0,0.0,0.0,0.0,1.0,1.0
3517,0,0,0,0,0,0,"I had an HP 7520 -- no, correction: I had two HP 7520s because the first one broke within the first 10 days and after it broke a second time, HP said to return it.",0.0,0.0,0.0,0.0,0.0,0.0
3403,0,0,0,0,0,0,"Looks good, but printing and scanning seems very slow - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Looks good, but this machine seems very slow to print on scanning and document printing.",0.0,0.0,0.0,0.0,0.0,1.0
9491,0,0,0,0,0,0,"I've only had it a week or so, but if I can't get adjustments through Canon customer service (which in my experience, as been terrific) I may be returning this to B&H.",0.0,0.0,0.0,0.0,0.0,0.0
9590,1,0,0,0,0,0,It wasn't straight forward to set-up but the supplied materials and disk helped guide us through it.,1.0,0.0,0.0,0.0,0.0,0.0
18104,0,1,0,0,0,0,It has also started to randomly lose its wifi connection which requires a restart to reset and again wastes more ink.,0.0,1.0,0.0,0.0,0.0,0.0
16405,0,1,0,0,0,0,"Ensure that the power cord is plugged securely into the printer, as the cord may have slightly become disconnected and prevented full power from being received by the printer.",0.0,1.0,0.0,0.0,0.0,0.0
15656,0,0,0,0,0,0,Doesn't work for even a year...,0.0,0.0,0.0,0.0,0.0,0.0
2963,0,0,0,0,0,0,"Very sleek styling, pops open automatically to receive the finished copy.",0.0,0.0,0.0,0.0,0.0,0.0
3643,0,0,0,0,0,0,The printers are not intuitive and they guzzle ink.,0.0,0.0,0.0,0.0,0.0,0.0
16646,0,1,0,0,0,0,"Re: MX922 is refusing to power off, connect to network.",0.0,1.0,0.0,0.0,0.0,0.0
19780,0,0,0,0,1,0,"If paper is visible from the paper output slot, use both hands to pull the paper out slowly.",0.0,0.0,0.0,0.0,1.0,0.0
12066,0,0,0,0,0,0,"The only issue is that the printer is way too slow for a home office or any type of professional work , including school projects.",0.0,0.0,0.0,0.0,0.0,0.0
2694,0,0,0,0,0,0,"The old MX870 is quiet, smooth, and a steady worker compared to the MX922.",0.0,0.0,0.0,0.0,0.0,0.0
15364,1,0,1,0,0,0,"I've got it working perfectly on machines running windows 7 and 8, but am having problems with setting it up on the machine running 10.",0.0,0.0,1.0,0.0,0.0,0.0
5822,1,0,0,1,0,1,"Works well for printing and faxes - What's great about it: Good price set up easy . What's not so great: Printing pictures Great equipment , would prefer size to be smaller and lighter ,great buy, fast printing time and easy to setup.",1.0,0.0,0.0,1.0,0.0,1.0
9514,0,0,0,0,0,1,It did and it was a good quality photo that it printed.,0.0,0.0,0.0,0.0,0.0,1.0
4196,1,1,1,0,0,0,"Re: the wireless set up works for the IPAD but not for the PC - Hi Jordisan, thanks for posting!",1.0,1.0,1.0,0.0,0.0,0.0
9341,1,0,0,0,0,0,"I didn't put any paper in the printer yet, according top the setup directions I have to do a number of things (like tell it to use English, put cartridges in,etc.). What's wrong??",1.0,0.0,0.0,0.0,0.0,0.0
16010,0,0,0,1,0,0,Four Stars - It is a bit slow but for the price I can't complain.,0.0,0.0,0.0,1.0,0.0,0.0
10742,0,0,0,1,0,0,What can you expect from a $78 printer?,0.0,0.0,0.0,1.0,0.0,0.0
10125,1,0,0,0,0,0,I keep getting a message that I need to install a printer to print.,1.0,0.0,0.0,0.0,0.0,0.0
559,1,1,0,0,0,0,"My husband & I were looking forward to the wireless printing, which I had never set up on our MX700.",1.0,0.0,0.0,0.0,0.0,0.0
8580,0,0,0,0,0,0,I finally gave up and purchased a HP LaserJet.,0.0,0.0,0.0,0.0,0.0,0.0
10269,0,1,0,0,0,0,The printer has been working well as a wi-fi connected printer for over a year.,0.0,1.0,0.0,0.0,0.0,0.0
12895,0,0,0,0,0,1,Prints fine.,0.0,0.0,0.0,0.0,0.0,1.0
15479,0,0,0,0,0,0,"To contact a Technical Support Representative, please use the link below: http://Canon.us/ContactLI Did this answer your question?",0.0,0.0,0.0,0.0,0.0,0.0
19753,0,0,0,0,0,0,I am so frustrated with Canon brands lack of customer service.,0.0,0.0,0.0,0.0,0.0,0.0
19472,0,1,0,0,0,0,My biggest concern was connecting to the wi-fi as I had problems with my previous one.,0.0,1.0,0.0,0.0,0.0,0.0
10759,0,1,0,0,0,0,One issue I have noticed is that setting onto your home network it has an issue with multiple computers access.,0.0,1.0,0.0,0.0,0.0,0.0
11809,0,0,0,1,0,0,"On a lightning deal, for under $80, can't go wrong.",0.0,0.0,0.0,1.0,0.0,0.0
48,1,0,0,0,0,0,"Lots of videos and whatnot on how great Cloud printing is, but nothing useful on the setup.",1.0,0.0,0.0,0.0,0.0,0.0
9024,0,0,0,0,0,0,Re: PIXMA MX922 - no scanning software coming through - Not only is the installed software poorly designed and the manual completely worthless for scanning but your answer is inaccurate as well.,0.0,0.0,0.0,0.0,0.0,0.0
6203,0,0,0,0,1,0,"One must empty the main cassette, insert the envelopes, print, and then return the cassette to the paper you usually use.",0.0,0.0,0.0,0.0,1.0,0.0
6173,1,0,0,0,0,1,"Pros: Durable construction, Easy To Set Up, Easy To Use, Fast Print Time, Reliable Cons: Uses A Fair Amount Of Ink Best Uses: Black & white Documents, Graphics & Charts, Professional Documents Describe Yourself: Frequent User Primary use: Business Bottom Line: Yes",1.0,0.0,0.0,0.0,0.0,0.0
7100,0,1,0,0,0,0,"I will repeat, when I go to my print menu on the Chromebook, iPad, desktop (I have since just plugged it in to lessen the amount of swearing my kids are exposed to) this darn thing is always offline.",0.0,1.0,0.0,0.0,0.0,0.0
