Sentence#,Wireless Setup,Wireless Connectivity,Windows Compatibility,Selling Price,Paper Feed,Overall Print Quality,Non-specific/Unknown,iOS Compatibility,Ink Consumption,Competitor Product Comparison,Audible Noise,Overall Customer Service,Cloud Connectivity,Paper Jam,Color Print Quality,Monochrome Print Quality,Build Quality,Print Speed,CD/DVD Printing,Initialization Speed,Driver Performance,Sentence,Wireless Setup_predicted,Wireless Connectivity_predicted,Windows Compatibility_predicted,Selling Price_predicted,Paper Feed_predicted,Overall Print Quality_predicted,Non-specific/Unknown_predicted,iOS Compatibility_predicted,Ink Consumption_predicted,Competitor Product Comparison_predicted,Audible Noise_predicted,Overall Customer Service_predicted,Cloud Connectivity_predicted,Paper Jam_predicted,Color Print Quality_predicted,Monochrome Print Quality_predicted,Build Quality_predicted,Print Speed_predicted,CD/DVD Printing_predicted,Initialization Speed_predicted,Driver Performance_predicted
8449,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Also goes through ink like crazy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Select Other setup and press .,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The wifi isn't working and I can't scan by using the printer's scan button.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Print quality, color, b&w, and photo all fine.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16483,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It says there is no paper in the upper tray.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5642,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Because of the frequency with which I get this message, I created a shortcut for this file, and placed it in my task bar (you can also put it on y our desktop, pin it to the start key ,etc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2570,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Fine printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Yes as someone pointed out, it can be a bit noisy, but what a nice printer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Re: My new Canon MX922 keeps losing a wireless network connection - Having had this problem in the months since I bought the MX922 (and for two hours again today) I suggest you sell it.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17707,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Here it is offline (grayed out).,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The double sided sheet feeder is a nice option.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whenever I scan using my MX922 with the document feeder on top, the final scanned page is crooked within the document.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The setup was simple for the direct connect.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"So that the Community can help you better, we will need to know exactly which version of Mac OS X is running on your MacBook Pro.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17097,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Re: MX922 duplex printing blank on back of page 1 - Hi steelslicer, So we can better assist you, please reply with what operating system is on your computer (version of Windows or Mac OS X).",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7723,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Loud but prints okay - Printer is fine.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18933,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Since the warranty is only good for a year, Canon support advises me the best option is to purchase a new printer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I can't guide you on that I just know the basics like changing my routers IP and having another router set up for older devices.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11835,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Will try compatible ink as replacement since the cost is prohibitively high for OEM ink.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basically it won't connect so I can print.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Paper Jammed on first double sided print - I had a MX860 for 7 years and got that B200 error of death.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,My old Canon MX712 never made that noise and was never that slow either.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,That mode should work even when it's not connected to a network or computer.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11660,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Have not used the Wireless printing option yet.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Do not use the WPS set up.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14852,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Following your instructions and my original run of these utilities I receive the message: Cannot connect to the scanner for theses reasons: disconnected from LAN (if this were true, i would not be able to print) if using wireless LAN, signal strength is poor due to obstructions (not using wireless LAN) Network connection prohibited by security software (if this were true, i would not be able to print) different scanner on the network is connected (this is the only scanner we own)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"every time we print something in color, it has an orange hue throughout.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"The quality of the machine is kind of flimsy, the bottom paper tray is not easy to grasp and paper will not feed if the printer has any pressure on the bottom of the drawer as it is the bottom of the actual printer.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7468,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Even the next level up is plagued with issues - Epson and HP included.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17644,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Windows 7?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5969,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Well, I've received no responses to this post which is fine - rather a specific issue - but there may be others on this forum that might be having the same issue or desire to print to a CD-R directly on their printer - saves worrying about paper labels that might jam a Super Drive!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The print quality is great and the fact that it comes with an XXL black print cartridge will save me money and aggravation from having to buy black ink all of the time.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13250,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Let THEM writing your step1-step2- illustrated directions and do us ALL a huge favor and save yourself millions in live tech support.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,I would delete the driver to uninstall the printer and install again.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Check to make sure that the settings in the IJ Scan Utility are set correctly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"after 2 months, this printer is not working properly ... - after 2 months, this printer is not working properly.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11186,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Print from pc- printer sounds like it has having digestive issues for two minutes (I timed it) - then doesnt print page.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6724,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"My wife reports that since we installed the mx922, when she is on the phone that she hears what sounds like a fax tone, then the phone call disconnects.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Nice and sleek finish - First, I have to say the unpacking was easy.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"So that the Community can help you better, we will need to know exactly which printer model you're using, and which version of Mac OS is running on your computer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6093,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,I didn't need them with the HP.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1034,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This is an excellent printer at a very low price.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Is there any set up guide available on setting up FAX capabilities for a Canon Pixma MX 922 printer?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Follow the prompts and the installation will complete.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12305,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"To install the unit for use over your network wirelessly, please follow these steps: 1.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4818,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Printer - What's great about it: Easy install . What's not so great: speed Good printer, good price, too slow printing!",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6496,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Just starting to install and haven't given it run - What's great about it: Price . What's not so great: Price of inks If it works as well as my previous multi-function Canon (600), I know I will be happy with it.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14787,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Re: My MX 922 is only recognized on my network when I am printing content from my Android phone using - Hello.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It was a difficult set up.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I usually buy the ink for cheaper from Amazaon, because i print a lot when i am at school.I think the problem started a year ago but it was not so bad-the papers were readable.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6526,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,. What's not so great: A bit noisy on start up.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19539,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Hi roguewarrior, It is recommended that you contact one of Canon's Technical Support Representatives.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9639,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Build quality ""feels"" cheap, but then again, it WAS cheap, so no surprise there.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Select Web service setup, then press the OK button.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,This new Canon is also a bit louder than it's predecessor (the MX982).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2494,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The printer was purchased to add Apple AirPrint to the system, and a lot of time and money was wasted with Apple and others before I found every one had the same problem and the answer was to wire the printer into the network.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6688,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Load a sheet of A4 or Letter-sized plain paper in the Auto Sheet Feeder or the Cassette.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,But I could go on the utility on my Mac and execute a scan.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19164,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I've had some network printing issues, not sure if they is the printer or my laptop.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I wish it had separate trays for letter size and legal size paper.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I just purchased an MX922 and I cannot get it to connect to my wireless network.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18752,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"I was getting an error message, printer not responding...I called Canon and within a minute I was speaking to a technician.",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17067,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,(Windows XP/Vista/7/8 or Mac 10.x) Any other details you'd like to give will only help the Community better understand your issue!,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19798,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"The software is just bad in Canon's apparently, had to get an HP.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8332,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"It is fast and will print from my phone, from my computer, makes great copies, and can print BEAUTIFUL pictures...",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
771,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,But for the price I will consider it a throw away,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,My installation was going just fine until the disk tried to install my drivers for the Pixma MX922.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5286,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Average Printer - This printer has good functions and makes good copies.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"When closing the door, make sure not to close it to hard, which may cause it to jam.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In the window that opens, please go up the FILE menu and select CANCEL ALL DOCUMENTS.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14084,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,But I scan alot and needed it to work without reinstalling Win 8.1 Pro x64/ Help this helps.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
